section_id,level,title,page_start,page_end,keywords,summary,image_count,anchor
s001,1,前言,2,3,世界BOSS、势力、时间、制作、BOSS、NA、9.5、前言,本攻略的制作初衷是为了给内向/不喜欢语音/不喜欢被大佬辱骂的新老玩家提供一份详尽的图文攻略。 因为上古的内容真的非常多，NA 服上还有许多的未翻译内容，老玩家即便有模糊的记忆，对于各种细节可能仍有遗漏，以致于在答复萌新的提问时不够详尽。,0,s001-c441a2ce
s002,1,目录,3,10,种地、跑商、钓鱼、采矿、巡山、野种、债券、星期限定活动、仙境、保管箱、委托、妖精管家,前言.................................................................................................................................... 1目录..........................................…,0,s002-2f953c62
s003,1,第一章 生活篇,10,10,种地、跑商、钓鱼、采矿、巡山、野种、债券、星期限定活动、仙境、保管箱、委托、妖精管家,生活篇内容及其简介 本攻略第一篇为生活篇，一共有十二大内容。 分别为： ①种地②跑商③钓鱼④采矿⑤巡山与野种⑥债券⑦星期限定活动 ⑧仙境⑨保管箱⑩委托⑾蓝颜商会任务⑿妖精管家,0,s003-2e46c502
s004,2,1.1 种地,10,10,种地,本节为“1.1 种地”的结构节点，正文主要分布在其子章节。,0,s004-8bfc1783
s005,3,1.1.1 种地的种类,10,11,种地、种地的种类,根据种地方式的不同，我们可以降种地的种类分为以下三种： ①直接种植②打捆种植③苗圃种植 ③苗圃种植,2,s005-59aade40
s006,3,1.1.2 直接种植,11,11,不推荐、直接种植,①指的是：使用从种子商人处直接购买得到的种子来在自己的菜地里种 直接种植 植的行为。大部分情况下不推荐，仅在需要雷击木和树木副产品时使用这种方式。,0,s006-0c22e934
s007,3,1.1.3 打捆种植,11,12,劳动力、时间、制作、打捆种植,②指的是：在农夫制作台或者稻草人制作台（稻草人菜田里的那个稻草 打捆种植 人，可以直接无视权限使用别人的）花费劳动力将种子和蠕动的蚯蚓制作成捆后再在自己菜地里种植的行为。打捆种植是可以直接同捆复种的，可以避免重复种植的行为。,1,s007-f69a962f
s008,3,1.1.4 苗圃种植,12,14,苗圃种植,③指的是使用房屋自带的 苗圃种植 苗圃来进行种植的行为。 苗圃种植需要先选择是农业还是 采集，F 是农业，G 是采集。,3,s008-c0210d17
s009,3,1.1.5 影响种地时间的因素,14,14,种地、时间、影响种地时间的因素,本节为“1.1.5 影响种地时间的因素”的结构节点，正文主要分布在其子章节。,0,s009-a895904c
s010,4,影响作物成熟时间的因素,14,14,劳动力、时间、影响作物成熟时间的因素,当玩家使用直接种植和打捆种植时，作物的成熟时间会受到种子适应气候与种植当地的气候影响。 如果气候合适，那么作物成熟后将不会变成打蔫的XXX。,0,s010-60fb8186
s011,4,影响收割作物时间的因素,14,15,熟练度、时间、影响收割作物时间的因素,1）使用床睡觉后获得的生活相关活动施法时间减少的BUFF 2）熟练度时装自带的生活相关活动施法时间减少的效果 3）玩家熟练度减少施法时间 4）对应晨露时装在连续收割3 次后的减少施法时间的BUFF 5）家具提供的生活相关活动施法时间减少的BUFF 6）快速生产卷轴的BUFF,0,s011-61fb69a3
s012,3,1.1.6 各种类种植方式的优缺点,15,15,各种类种植方式的优缺点,本节为“1.1.6 各种类种植方式的优缺点”的结构节点，正文主要分布在其子章节。,0,s012-66cfe60b
s013,4,优点,15,15,时间、优点,①和②这两种种子方式都可以获得作物和副产物（树捆仅能获得静电叶片）。 ②相较于①和③可以直接复种同种作物，在大量种植时可以节约时间。,0,s013-2678e9ca
s014,4,缺点,15,15,时间、缺点,①和②成长时间较长，会受气候影响，对收割时间有要求。单个作物（捆）产量较为低下，种植活动花费时间较长。,0,s014-f0a86bc8
s015,3,1.1.7 种子的获取,15,16,不推荐、种子的获取,种子的获取方式分为以下两种： 1）在菜单栏的生活点商店处或者生活点商人处购买（不推荐） 2）在种子和树苗商人处购买 种子和树苗商人会出现在： 1）住宅区附近的NPC 聚落处 2）相逢之庭的二楼,0,s015-7eb8d6ae
s016,2,1.2 跑商,16,16,跑商,本节为“1.2 跑商”的结构节点，正文主要分布在其子章节。,0,s016-068ca127
s017,3,1.2.1 跑商的种类,16,16,跑商、债券、陆商、海商、普通货、星星货、住民货、商团货、债券货、发酵货、黑炭、龙骨,跑商根据交通方式的不同，可以分为以下两种： ①跑陆商②跑海商 根据货物的不同，可以分为以下两种： ③跑普通货④跑星星货⑤跑住民货⑥跑商团货 ⑦跑债券货⑧跑发酵货⑨跑黑炭⑩跑龙骨 ③④⑤⑥⑦⑧在跑完8 小时后，收益的金币将会通过邮件发放。 ⑨⑩在跑完8 小时后，收益的资源将会通过邮件发放。,0,s017-87bcb425
s018,3,1.2.2 跑商的前置准备,16,20,跑商、陆商、海商、黑炭、熟练度、前置准备、位置、不推荐、注意事项、跑商的前置准备,注意事项！！,12,s018-fd0bf315
s019,3,1.2.3 跑商对于时间的要求,20,22,跑商、债券、债券货、发酵货、收益、时间、制作、跑商对于时间的要求,所有的货物在制作出来或者购买出来时都会有一个时间，将鼠标移动在货物上即可查看（不同货物过期时间不一样）。如图所示： 因此当最佳时间结束之后，我们跑商的收益就会受损，所以我们需要根据实际情况来判断我们能不能在过期前跑完这些货物。,2,s019-521227ca
s020,3,1.2.4 怎么跑陆商,22,24,势力、陆商、注意事项、怎么跑陆商,参考笔者B 站视频：BV1CJ8deaEQe 注意事项：一定要锁车！！,1,s020-add0e5d8
s021,3,1.2.5 怎么跑海商,24,24,海商、怎么跑海商,内战结束后更新。,0,s021-28619033
s022,3,1.2.6 打劫与被打劫,24,24,打劫与被打劫,本节为“1.2.6 打劫与被打劫”的结构节点，正文主要分布在其子章节。,0,s022-ac786398
s023,4,打劫的情况：,24,24,跑商、势力、打劫的情况,如果你或者国人发现敌对势力玩家正在进行非安全区的跑商活动，可以通过语音（KOOK）或者打字的方式提醒并邀请其他国人玩家参与打劫。,0,s023-7373da34
s024,4,被打劫的情况：,24,25,跑商、职业、注意事项、被打劫的情况,如果你想要进行非安全区的跑商行为，那么笔者强烈推荐你在跑商开始前就挂在语音频道上，这样子你一出事就可以立马组团、报点、报对面职业和人数已经打劫方式。同时还能告知救援人员你的情况，这样子做足了这些准备，才能最大程度保证救援人员可以帮你抢回你的货物。,0,s024-14a8a436
s025,3,1.2.7 各种类跑商的优缺点,25,25,跑商、各种类跑商的优缺点,本节为“1.2.7 各种类跑商的优缺点”的结构节点，正文主要分布在其子章节。,0,s025-c0482daa
s026,4,普通货：,25,25,普通货、劳动力、制作,制作材料和需要劳动力较少，但是可获得金币较少。如图所示,1,s026-6d0f498d
